id_experimento,nombre_experimento,id_proyecto,objetivo,notas,fecha_creacion,seed
91,predicción-de-riesgo-cre-exp-05,7,Ajuste de hiperparámetros para Predicción de Riesgo Crediticio,"Épocas=35, batch=69. Early stopping activado.",2025-07-25 09:00:02,83
92,sistema-de-chatbot-exp-05,8,Validación cruzada estratificada en Sistema de Chatbot,"Épocas=58, batch=58. Se aplicó normalización y one-hot.",2025-07-28 11:42:26,20
93,generación-de-imágenes-exp-05,6,Comparación de modelos para Generación de Imágenes,,2025-07-30 12:22:29,75
94,análisis-de-sentimiento-exp-05,15,Experimento exploratorio sobre Análisis de Sentimiento,"Épocas=22, batch=78. Búsqueda en rejilla de LR y regularización.",2025-07-31 10:54:33,61
95,recomendador-de-producto-exp-05,3,Experimento exploratorio sobre Recomendador de Productos,"Épocas=58, batch=58. Se aplicó normalización y one-hot.",2025-08-04 15:51:04,43
96,análisis-de-logs-exp-06,1,Validación cruzada estratificada en Análisis de Logs,"Épocas=42, batch=94. Se aplicó normalización y one-hot.",2025-08-05 10:58:07,95
97,segmentación-de-clientes-exp-06,13,Evaluación de features y preprocesamiento en Segmentación de Clientes,,2025-08-07 14:23:01,50
98,clasificación-de-imágene-exp-06,2,Evaluación de features y preprocesamiento en Clasificación de Imágenes,"Épocas=58, batch=58. Se aplicó normalización y one-hot.",2025-08-11 12:52:50,71
99,sistema-de-chatbot-exp-06,8,Evaluación de features y preprocesamiento en Sistema de Chatbot,"Épocas=25, batch=60. Se aplicó normalización y one-hot.",2025-08-13 13:48:19,29
100,recomendador-de-producto-exp-06,3,Experimento exploratorio sobre Recomendador de Productos,"Épocas=58, batch=58. Se aplicó normalización y one-hot.",2025-08-14 14:49:09,59
